date,PO%,away_team_runs,woba_denom,WAR,Swing% (sc),SH,Str,incorrect_calls,home_runs,Pulls,IFH%,balls,CTv,FA% (sc),FS% (pi),wFA (sc),SC-Z (sc),SI-X (pi),# 60-90%,StS,Contact%,H/9+,BIP-Wins,ShO,at_bat_number,wFA (pi),OPS,LA,Pull%,Loc+ CU,# 0%,average_distance,hit_distance_sc,Pit+ FC,Off,Pace,L,CH-Z (sc),FC-X (pi),AVG,bat_score,rank,PB,60-90%,ay,FA-Z (pi),wCH,F-Strike%,TE,vFS (sc),2B,rTS,vSL (pi),wKC (sc),maxEV,CH-X (pi),40-60%,GB%,SF,XX% (pi),botOvr CH,PA,K/BB,botStf FS,RngR,az,SC% (sc),O-Contact% (sc),Pit+ FS,woba_value,CU-X (sc),Loc+ SI,launch_angle,vFT (sc),inLI,wCU/C (sc),HBP,vFA (pi),SL% (pi),correct_calls_above_expected,delta_home_win_exp,O-Contact% (pi),FP,O-Contact%,E,release_speed,inning_topbot,post_away_score,botOvr KC,wSL/C (sc),release_spin_rate,K%,EP-X (sc),Zone% (pi),wGDP,botCmd CU,G,Loc+ FS,Cent%+,CS-Z (pi),UZR/150,SL% (sc),plate_z,ISO+,max_distance,year,SB-Z (pi),home_team,K/9+,spin_rate_deprecated,RS/9,SB-X (pi),release_pos_z,Cent%,release_extension,BABIP,FO-X (sc),vCS (pi),1-10%,description,accuracy_above_expected,BB%,FBv,BF,Loc+ FA,SFv,FIP,botCmd KC,LOB%,average_homerun,rCERA,FA-X (pi),wFS/C (sc),botCmd SL,Z-Contact%,rGDP,fielder_2,SLG+,Swing%,wCU (pi),UZR,batted_ball_events,id,expected_incorrect_calls,wFC (pi),GS,Dollars,Spd,HR/FB,kwERA,FE,botOvr FS,SO,FA-X (sc),Stf+ CU,SB% (pi),pitcher.1,player_name,wKC/C (sc),StL,fly_ball_line_drive_ev,vFS (pi),wSL (sc),Pit+ SI,Lg,CB%,wFB/C,H,wKN (pi),xERA,A,break_length_deprecated,Stf+ FA,Starting,Dol,FB,O-Swing% (sc),type,iso_value,wSI (sc),xFIP,Z-Swing%,swing_length,LD%+,CU-Z (pi),O-Swing% (pi),estimated_ba_using_speedangle,CG,FDP-Wins,Clutch,Team,FIP-,Pos,FSR,des,10-40%,wCH/C,FT-X (sc),IBB,botOvr,K/BB+,vCH (pi),wCT/C,xSLG,ARM,plate_x,FO-Z (sc),botStf FC,RBI,release_pos_y,#days,AVG+,IDfg,ballpark,SLv,pitches_called,FS-Z (sc),Scp,W,wRC+,CH-Z (pi),FS-X (pi),rSB,wKN/C (sc),Stf+ FS,wFS/C (pi),KN-X (pi),launch_speed_angle,Contact% (pi),Pit+ KC,FC% (sc),post_fld_score,Stf+ SI,post_bat_score,bat_speed,SO/W,Barrel%,wSI/C (pi),tfs_deprecated,pfx_x,phLI,vCU (sc),AB,RAR,# 10-40%,Med%+,Barrels,wCS (pi),hard_hit_95mph+,OBP,GDP,BB,on_1b,LOB-Wins,correct_calls,strikes,Pit+ FA,KC-X (sc),post_home_score,vFA (sc),vSC (sc),wSL,target,exLI,FA% (pi),vKC (sc),wCH/C (pi),BUH%,LD%,ISO,SO9,EV,WHIP+,launch_speed,Stf+ FO,Stf+ KC,wSF/C,botStf KC,game_year,FB% 2,FRM,wSC/C (sc),CH% (pi),rPM,SL%,OAA,wSI (pi),XX-Z (pi),estimated_woba_using_speedangle,DPF,SI-Z (pi),CU% (sc),botOvr SI,TZ,xwOBA,Bat,on_2b,IFH,vFC (pi),SF%,away_team,total_run_impact,botxRV100,FT-Z (sc),Soft%+,zone,MD,Pit+ CU,SL-X (sc),ER,SL-Z (pi),BA,FB%,Age Rng,botStf FA,barrels_batted_balls_percentage,DRS,KC% (sc),Z-Swing% (sc),WPA,FA-Z (sc),Hard%,batter,pitch_type,away_score,SI-X (sc),+WPA,wSC (sc),average_ev,RA9-WAR,KC-Z (sc),home_score,Pit+ FO,SC-X (sc),vy0,feature2,Swing% (pi),player,release_pos_x,SL-X (pi),wCB,GB/FB,wCH (pi),vSI (sc),Age,game_type,Stf+ FC,wFC/C (sc),BB/9,Balls,pitch_name,fielder_7,-WPA,expected_correct_calls,Med%,KNv,K%+,botCmd FC,vFC (sc),UN% (sc),GB,3B,CSW%,1B,SwStr%,wFT/C (sc),on_3b,wFC/C (pi),FB% (Pitch),wOBA,wSF,botStf SI,fielder_6,Loc+ FO,accuracy,ErrR,total_barrels,BUH,wCH (sc),wSB/C (pi),wCB/C,BAbip,wSB,HR/9,90-100%,botOvr FC,Rep,botCmd,Pitching+,botStf CU,vFO (sc),sz_top,fielder_2.1,expected_homers,BU,R,air_density_index,Zone% (sc),CH-X (sc),strikeouts,WP,SB,Stf+ CH,wCT,gmLI,vx0,rARM,outs_when_up,E-F,vKN (sc),fielder_9,vSI (pi),sv_id,CS-X (pi),babip_value,wCS/C (pi),Loc+ KC,Zone%,DPS,L-WAR,Tm,BIZ,barrels_plate_appearance_percentage,vz0,wEP (sc),FC-Z (pi),OBP+,fielder_5,FC-Z (sc),SV,Z-Contact% (sc),Stf+ SL,wRC,inning,botCmd FS,Lev,PU,Pit+ CH,Hard%+,GB%+,SL-Z (sc),wSI/C (sc),spin_dir,OOZ,BB%+,TTO%,Def,HR,effective_speed,fielder_4,CStr%,wFT (sc),# 1-10%,wFC (sc),BB/9+,Pit+ SL,Pace (pi),mlbID,BK,sz_bot,DP,RZR,# 90-100%,Soft%,botERA,TZL,FB%+,Oppo%,EP% (sc),break_angle_deprecated,vKN (pi),umpire,Stuff+,vSB (pi),0%,away,wFS (pi),FC% (pi),Location+,FO% (sc),PH,tERA,BABIP+,CU-X (pi),KN-Z (sc),of_fielding_alignment,Z-Contact% (pi),pLI,LOB%+,actual_homers,K/9,KN%,wKN,botCmd CH,BS,botCmd SI,CS% (pi),Pitches,expected_accuracy,TBF,KN-Z (pi),wCH/C (sc),xBA,XX%,CBv,LD+%,favor_home,HR/9+,Loc+ CH,HR/FB%+,Range,pitcher,CPP,RS,delta_run_exp,DPR,Inn,altitude,Events,SI% (pi),wFA/C (pi),SIERA,game_pk,vXX (pi),Fld,REW,WPA/LI,Loc+ FC,rGFP,fld_score,hit_location,Start-IP,SI% (sc),home_team_runs,wKN/C,IFFB%,SLG,CU-Z (sc),FS-Z (pi),wXX (pi),ERA-,HLD,hard_hit_percentage,botStf CH,botStf SL,if_fielding_alignment,game_date,IP,UBR,Name,ground_ball_ev,wFB,CH%,wXX/C (pi),FS% (sc),Pull%+,FT% (sc),wSL/C,wCU/C (pi),hc_x,CS,botOvr FA,wKN (sc),wSL/C (pi),SI-Z (sc),Oppo%+,botOvr SL,consistency,xFIP-,DPT,pitch_number,CH% (sc),events,stand,FC-X (sc),RPP,CHv,LD,KN% (sc),HardHit,feature1,Z-Swing% (pi),wFA/C (sc),Pit,# 40-60%,hc_y,CU% (pi),bb_type,RE24,H/9,BsR,wFS (sc),Relief-IP,tfs_zulu_deprecated,BB/K,wFO (sc),wCU (sc),WHIP,HardHit%,vCH (sc),wSB (pi),vCU (pi),wRAA,KN-X (sc),wSL (pi),fielder_8,Season,FS-X (sc),wEP/C (sc),home,PO,pfx_z,IFFB,vEP (sc),rSZ,botCmd FA,botOvr CU,botStf,spin_axis,Contact% (sc),Relieving,max_ev,SD,XX-X (pi),p_throws,Strikes,wKN/C (pi),vSL (sc),ax,wFO/C (sc),CT%,ERA,fielder_3,KN% (pi),O-Swing%,K-BB%,sweet_spot_percentage,EP-Z (sc),hard_hit_swing_percentage,Loc+ SL,Plays
,,,,,,0,,,,,,,,,,,,,,,,,,,,,1.471,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5,,2796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,641820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.071,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,2862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,595307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.649,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,0,,,37,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,3,,2792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,0.243,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,622534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.405,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,2839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,501697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,,,,,,,,,,,,,,,,,,,,0.588,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,1,,,311,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,21,,2792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,,,,,,,0.257,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,545350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.744,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,9,,,684,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,89,,2792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,,,,,,,0.347,16,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,455976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.397,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,8,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,2792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,608566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.298,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,14,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,2795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,0.214,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,571918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.791,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,3,,,284,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,44,,2792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,,,,,,,0.31,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,527043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.481,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,6,,,466,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,33,,2793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,,,,,,,0.287,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,606466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.818,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,0,,,529,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,46,,2797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,,,,,,,0.362,8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,516782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.456,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,,,,,,,,,,,,,,,,,,,,0.684,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,7,,,576,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,47,,2793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,,,,,,,0.306,10,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,547982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.378,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.733,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,5,,,535,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,74,,2792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,,,,,,,0.335,12,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,431145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.398,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,65,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,6,,2794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,0.246,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,593372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.908,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,5,,,517,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,68,,2792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,,,,,,,0.373,13,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,502110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
